byś|persName|0.0|pl
bóg|persName|0.0|pl
f|persName|0.0|pl
chopin|persName|0.0|pl
f|persName|1.0|pl
chopin|persName|1.0|pl
f|persName|2.0|pl
chopin|persName|2.0|pl
lubo|placeName|3.0|pl
kochany papo|persName|3.0|pl
f|persName|3.0|pl
chopin|persName|3.0|pl
zabalewicza|persName|4.0|pl
komisja|orgName|4.0|pl
akademii|orgName|4.0|pl
tytusowi|persName|4.0|pl
białobłocki|persName|4.0|pl
warszawy|placeName|4.0|pl
papa państwu marylskim|orgName|4.0|pl
ludwika|persName|4.0|pl
f|persName|4.0|pl
chopin|persName|4.0|pl
p|persName|4.0|pl
kulikowski|persName|4.0|pl
karwowski|persName|4.0|pl
wilczyński|persName|4.0|pl
krzywicki|persName|4.0|pl
kulikowskiego|persName|4.0|pl
kalisza|placeName|4.0|pl
boga|persName|5.0|pl
warszawskiego|placeName|5.0|pl
gerardemu|persName|5.0|pl
warszawa|placeName|5.0|pl
szafarnia|placeName|5.0|pl
gerardot|persName|5.0|pl
warszawie|placeName|5.0|pl
dziewanowski|persName|5.0|pl
szafarni|geogName|5.0|pl
podowski|persName|5.0|pl
sumiński|persName|5.0|pl
piwnicki|persName|5.0|pl
borzewska|persName|5.0|pl
wybraniecki|persName|5.0|pl
białobłockim|placeName|5.0|pl
gulbinach|placeName|5.0|pl
piwnickich|persName|5.0|pl
sokołowie|placeName|5.0|pl
pannę ludwikę|persName|5.0|pl
papy|persName|5.0|pl
papa|persName|5.0|pl
brzeziny|placeName|5.0|pl
ries|persName|5.0|pl
panią dziewanowską|persName|5.0|pl
ludwika|persName|5.0|pl
emilkę|persName|5.0|pl
panią dekert|persName|5.0|pl
leszczyńską|persName|5.0|pl
konikowi polnemu|persName|5.0|pl
chomontowskiemu|persName|5.0|pl
f|persName|5.0|pl
chopin|persName|5.0|pl
panny dziewanowskie|geogName|5.0|pl
juliusz|persName|5.0|pl
woycickiemu|persName|5.0|pl
papę|persName|5.0|pl
dnia 16 sierpnia|date|6.0|pl
1824 roku|date|6.0|pl
r|date|6.0|pl
1820|date|6.0|pl
dnia 11 sierpnia r|date|6.0|pl
j|persName|6.0|pl
p|persName|6.0|pl
fryderyk chopin|persName|6.0|pl
panią dziewanowską|persName|6.0|pl
ludwiką|persName|6.0|pl
franciszek chopin|persName|6.0|pl
jakub chopin|persName|6.0|pl
mikołajek|persName|6.0|pl
b|persName|6.0|pl
better|persName|6.0|pl
wirtuosus|orgName|6.0|pl
berlińczyk|persName|6.0|pl
jpana  |persName|6.0|pl
bergera|persName|6.0|pl
panią łagowskę|persName|6.0|pl
indyczka|persName|6.0|pl
kura|persName|6.0|pl
kaczor|persName|6.0|pl
karmelitów|orgName|6.0|pl
oborach|placeName|6.0|pl
hemo roidyczne|persName|6.0|pl
bocheńcu|placeName|6.0|pl
l|persName|6.0|pl
d|persName|6.0|pl
